Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName          
-------  ------    -----      -----     ------     --  -- -----------          
    532      36    71132      81812       4.38   1916   1 powershell           
   4263       0      128        136       4.34      4   0 System               
    461      35    50924      60836       3.06   2272   1 powershell           
     48       3      412       1188       2.13    988   0 smss                 
    863      34    10828      27352       0.88   1268   1 svchost              
    204      10     4972      15124       0.77   2076   1 sppsvc               
    543      33     5328      16712       0.63   1388   1 svchost              
    187      11     1652       4240       0.59     68   1 csrss                
    320      16     7692      12732       0.36   1212   1 svchost              
    105       9     1316       5248       0.34    312   1 wininit              
    215      11     2788       6148       0.33    604   1 services             
    756      21     4500      12176       0.33    704   1 lsass                
    364      19     4660      13932       0.25   1572   1 svchost              
    314      12     5192      12412       0.23   1988   1 WmiPrvSE             
    285      13     2864      10724       0.20   1188   1 svchost              
    297      13     2680       9108       0.17   1064   1 svchost              
    277      14     2192       6960       0.09   1096   1 svchost              
    208      15     3248      10064       0.08   1276   1 svchost              
    156      10     2916       9544       0.06   1792   1 WmiPrvSE             
     95       5     1008       4644       0.03   1500   1 CExecSvc             
    136       9     1720       7904       0.03   2116   1 SppExtComObj         
     90       7     1180       5412       0.00   1480   1 svchost              
      0       0        0          4                 0   0 Idle       
